Notes,States,States Code,Single-Year Ages,Single-Year Ages Code,Yearly July 1st Estimates,Yearly July 1st Estimates Code,Population
,Alabama,01,< 1 year,0,2020,2020,56285
,Alabama,01,< 1 year,0,2021,2021,56687
,Alabama,01,< 1 year,0,2022,2022,57882
Total,Alabama,01,< 1 year,0,,,170854
,Alabama,01,1 year,1,2020,2020,57207
,Alabama,01,1 year,1,2021,2021,56760
,Alabama,01,1 year,1,2022,2022,57185
Total,Alabama,01,1 year,1,,,171152
,Alabama,01,2 years,2,2020,2020,58871
,Alabama,01,2 years,2,2021,2021,57612
,Alabama,01,2 years,2,2022,2022,57342
Total,Alabama,01,2 years,2,,,173825
,Alabama,01,3 years,3,2020,2020,59394
,Alabama,01,3 years,3,2021,2021,59310
,Alabama,01,3 years,3,2022,2022,58047
Total,Alabama,01,3 years,3,,,176751
,Alabama,01,4 years,4,2020,2020,60567
,Alabama,01,4 years,4,2021,2021,59870
,Alabama,01,4 years,4,2022,2022,59843
Total,Alabama,01,4 years,4,,,180280
,Alabama,01,5 years,5,2020,2020,60781
,Alabama,01,5 years,5,2021,2021,60917
,Alabama,01,5 years,5,2022,2022,60337
Total,Alabama,01,5 years,5,,,182035
,Alabama,01,6 years,6,2020,2020,60201
,Alabama,01,6 years,6,2021,2021,61182
,Alabama,01,6 years,6,2022,2022,61461
Total,Alabama,01,6 years,6,,,182844
,Alabama,01,7 years,7,2020,2020,59541
,Alabama,01,7 years,7,2021,2021,60733
,Alabama,01,7 years,7,2022,2022,61795
Total,Alabama,01,7 years,7,,,182069
,Alabama,01,8 years,8,2020,2020,60073
,Alabama,01,8 years,8,2021,2021,59998
,Alabama,01,8 years,8,2022,2022,61106
Total,Alabama,01,8 years,8,,,181177
,Alabama,01,9 years,9,2020,2020,60809
,Alabama,01,9 years,9,2021,2021,60443
,Alabama,01,9 years,9,2022,2022,60574
Total,Alabama,01,9 years,9,,,181826
,Alabama,01,10 years,10,2020,2020,62274
,Alabama,01,10 years,10,2021,2021,61107
,Alabama,01,10 years,10,2022,2022,60929
Total,Alabama,01,10 years,10,,,184310
,Alabama,01,11 years,11,2020,2020,64295
,Alabama,01,11 years,11,2021,2021,62640
,Alabama,01,11 years,11,2022,2022,61557
Total,Alabama,01,11 years,11,,,188492
,Alabama,01,12 years,12,2020,2020,66855
,Alabama,01,12 years,12,2021,2021,64619
,Alabama,01,12 years,12,2022,2022,63172
Total,Alabama,01,12 years,12,,,194646
,Alabama,01,13 years,13,2020,2020,66347
