Group,Year,Month,State,Condition.Group,Condition,ICD10_codes,Age.Group,COVID.19.Deaths,Number.of.Mentions,Flag,TotalPopulation
By Year,2020,-1,United States,Respiratory diseases,Influenza and pneumonia,J09-J18,0-24,249,256,NA,104606067
By Year,2021,-1,United States,Respiratory diseases,Influenza and pneumonia,J09-J18,0-24,893,933,NA,103989602
By Year,2020,-1,United States,Respiratory diseases,Influenza and pneumonia,J09-J18,25-34,1112,1131,NA,45552696
By Year,2021,-1,United States,Respiratory diseases,Influenza and pneumonia,J09-J18,25-34,3708,3855,NA,45429181
By Year,2020,-1,United States,Respiratory diseases,Influenza and pneumonia,J09-J18,35-44,3006,3069,NA,42738081
By Year,2021,-1,United States,Respiratory diseases,Influenza and pneumonia,J09-J18,35-44,9714,10147,NA,43245245
By Year,2020,-1,United States,Respiratory diseases,Influenza and pneumonia,J09-J18,45-54,8867,9109,NA,40992735
By Year,2021,-1,United States,Respiratory diseases,Influenza and pneumonia,J09-J18,45-54,22614,23535,NA,40595371
By Year,2020,-1,United States,Respiratory diseases,Influenza and pneumonia,J09-J18,55-64,22055,22613,NA,42795410
By Year,2021,-1,United States,Respiratory diseases,Influenza and pneumonia,J09-J18,55-64,45411,47136,NA,42543029
By Year,2020,-1,United States,Respiratory diseases,Influenza and pneumonia,J09-J18,65-74,39212,40096,NA,32371608
By Year,2021,-1,United States,Respiratory diseases,Influenza and pneumonia,J09-J18,65-74,62888,64910,NA,33422673
By Year,2020,-1,United States,Respiratory diseases,Influenza and pneumonia,J09-J18,75-84,47411,48203,NA,15971733
By Year,2021,-1,United States,Respiratory diseases,Influenza and pneumonia,J09-J18,75-84,58535,59929,NA,16339316
By Year,2020,-1,United States,Respiratory diseases,Influenza and pneumonia,J09-J18,85+,46105,46556,NA,6483182
By Year,2021,-1,United States,Respiratory diseases,Influenza and pneumonia,J09-J18,85+,42806,43396,NA,6467137
By Year,2020,-1,United States,Respiratory diseases,Influenza and pneumonia,J09-J18,All Ages,168023,171039,NA,NA
By Year,2021,-1,United States,Respiratory diseases,Influenza and pneumonia,J09-J18,All Ages,246574,253846,NA,NA
By Year,2020,-1,United States,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,0-24,43,45,NA,104606067
By Year,2021,-1,United States,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,0-24,89,90,NA,103989602
By Year,2020,-1,United States,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,25-34,119,119,NA,45552696
By Year,2021,-1,United States,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,25-34,231,235,NA,45429181
By Year,2020,-1,United States,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,35-44,272,278,NA,42738081
By Year,2021,-1,United States,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,35-44,561,573,NA,43245245
By Year,2020,-1,United States,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,45-54,837,857,NA,40992735
By Year,2021,-1,United States,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,45-54,1567,1632,NA,40595371
By Year,2020,-1,United States,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,55-64,3387,3539,NA,42795410
By Year,2021,-1,United States,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,55-64,5409,5676,NA,42543029
By Year,2020,-1,United States,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,65-74,8416,8760,NA,32371608
By Year,2021,-1,United States,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,65-74,10287,10846,NA,33422673
By Year,2020,-1,United States,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,75-84,11575,12016,NA,15971733
By Year,2021,-1,United States,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,75-84,11953,12539,NA,16339316
By Year,2020,-1,United States,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,85+,10330,10610,NA,6483182
By Year,2021,-1,United States,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,85+,7943,8223,NA,6467137
By Year,2020,-1,United States,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,All Ages,34980,36225,NA,NA
By Year,2021,-1,United States,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,All Ages,38040,39814,NA,NA
By Year,2020,-1,United States,Respiratory diseases,Adult respiratory distress syndrome,J80,0-24,112,112,NA,104606067
By Year,2021,-1,United States,Respiratory diseases,Adult respiratory distress syndrome,J80,0-24,274,274,NA,103989602
By Year,2020,-1,United States,Respiratory diseases,Adult respiratory distress syndrome,J80,25-34,402,402,NA,45552696
By Year,2021,-1,United States,Respiratory diseases,Adult respiratory distress syndrome,J80,25-34,1163,1163,NA,45429181
By Year,2020,-1,United States,Respiratory diseases,Adult respiratory distress syndrome,J80,35-44,1130,1130,NA,42738081
By Year,2021,-1,United States,Respiratory diseases,Adult respiratory distress syndrome,J80,35-44,2996,2996,NA,43245245
By Year,2020,-1,United States,Respiratory diseases,Adult respiratory distress syndrome,J80,45-54,3330,3330,NA,40992735
By Year,2021,-1,United States,Respiratory diseases,Adult respiratory distress syndrome,J80,45-54,6680,6680,NA,40595371
By Year,2020,-1,United States,Respiratory diseases,Adult respiratory distress syndrome,J80,55-64,7484,7484,NA,42795410
By Year,2021,-1,United States,Respiratory diseases,Adult respiratory distress syndrome,J80,55-64,12143,12143,NA,42543029
By Year,2020,-1,United States,Respiratory diseases,Adult respiratory distress syndrome,J80,65-74,11538,11538,NA,32371608
By Year,2021,-1,United States,Respiratory diseases,Adult respiratory distress syndrome,J80,65-74,14057,14057,NA,33422673
By Year,2020,-1,United States,Respiratory diseases,Adult respiratory distress syndrome,J80,75-84,10481,10481,NA,15971733
By Year,2021,-1,United States,Respiratory diseases,Adult respiratory distress syndrome,J80,75-84,8799,8799,NA,16339316
