"Group","Year","Month","State","Condition.Group","Condition","ICD10_codes","Age.Group","COVID.19.Deaths","Number.of.Mentions","Flag"
"By Year",2020,-1,"United States","Respiratory diseases","Influenza and pneumonia","J09-J18","0-24",249,256,""
"By Year",2021,-1,"United States","Respiratory diseases","Influenza and pneumonia","J09-J18","0-24",893,933,""
"By Year",2020,-1,"United States","Respiratory diseases","Influenza and pneumonia","J09-J18","25-34",1112,1131,""
"By Year",2021,-1,"United States","Respiratory diseases","Influenza and pneumonia","J09-J18","25-34",3708,3855,""
"By Year",2020,-1,"United States","Respiratory diseases","Influenza and pneumonia","J09-J18","35-44",3006,3069,""
"By Year",2021,-1,"United States","Respiratory diseases","Influenza and pneumonia","J09-J18","35-44",9714,10147,""
"By Year",2020,-1,"United States","Respiratory diseases","Influenza and pneumonia","J09-J18","45-54",8867,9109,""
"By Year",2021,-1,"United States","Respiratory diseases","Influenza and pneumonia","J09-J18","45-54",22614,23535,""
"By Year",2020,-1,"United States","Respiratory diseases","Influenza and pneumonia","J09-J18","55-64",22055,22613,""
"By Year",2021,-1,"United States","Respiratory diseases","Influenza and pneumonia","J09-J18","55-64",45411,47136,""
"By Year",2020,-1,"United States","Respiratory diseases","Influenza and pneumonia","J09-J18","65-74",39212,40096,""
"By Year",2021,-1,"United States","Respiratory diseases","Influenza and pneumonia","J09-J18","65-74",62888,64910,""
"By Year",2020,-1,"United States","Respiratory diseases","Influenza and pneumonia","J09-J18","75-84",47411,48203,""
"By Year",2021,-1,"United States","Respiratory diseases","Influenza and pneumonia","J09-J18","75-84",58535,59929,""
"By Year",2020,-1,"United States","Respiratory diseases","Influenza and pneumonia","J09-J18","85+",46105,46556,""
"By Year",2021,-1,"United States","Respiratory diseases","Influenza and pneumonia","J09-J18","85+",42806,43396,""
"By Year",2020,-1,"United States","Respiratory diseases","Influenza and pneumonia","J09-J18","All Ages",168023,171039,""
"By Year",2021,-1,"United States","Respiratory diseases","Influenza and pneumonia","J09-J18","All Ages",246574,253846,""
"By Year",2020,-1,"United States","Respiratory diseases","Chronic lower respiratory diseases","J40-J47","0-24",43,45,""
"By Year",2021,-1,"United States","Respiratory diseases","Chronic lower respiratory diseases","J40-J47","0-24",89,90,""
"By Year",2020,-1,"United States","Respiratory diseases","Chronic lower respiratory diseases","J40-J47","25-34",119,119,""
"By Year",2021,-1,"United States","Respiratory diseases","Chronic lower respiratory diseases","J40-J47","25-34",231,235,""
"By Year",2020,-1,"United States","Respiratory diseases","Chronic lower respiratory diseases","J40-J47","35-44",272,278,""
"By Year",2021,-1,"United States","Respiratory diseases","Chronic lower respiratory diseases","J40-J47","35-44",561,573,""
"By Year",2020,-1,"United States","Respiratory diseases","Chronic lower respiratory diseases","J40-J47","45-54",837,857,""
"By Year",2021,-1,"United States","Respiratory diseases","Chronic lower respiratory diseases","J40-J47","45-54",1567,1632,""
"By Year",2020,-1,"United States","Respiratory diseases","Chronic lower respiratory diseases","J40-J47","55-64",3387,3539,""
"By Year",2021,-1,"United States","Respiratory diseases","Chronic lower respiratory diseases","J40-J47","55-64",5409,5676,""
"By Year",2020,-1,"United States","Respiratory diseases","Chronic lower respiratory diseases","J40-J47","65-74",8416,8760,""
"By Year",2021,-1,"United States","Respiratory diseases","Chronic lower respiratory diseases","J40-J47","65-74",10287,10846,""
"By Year",2020,-1,"United States","Respiratory diseases","Chronic lower respiratory diseases","J40-J47","75-84",11575,12016,""
"By Year",2021,-1,"United States","Respiratory diseases","Chronic lower respiratory diseases","J40-J47","75-84",11953,12539,""
"By Year",2020,-1,"United States","Respiratory diseases","Chronic lower respiratory diseases","J40-J47","85+",10330,10610,""
"By Year",2021,-1,"United States","Respiratory diseases","Chronic lower respiratory diseases","J40-J47","85+",7943,8223,""
"By Year",2020,-1,"United States","Respiratory diseases","Chronic lower respiratory diseases","J40-J47","All Ages",34980,36225,""
"By Year",2021,-1,"United States","Respiratory diseases","Chronic lower respiratory diseases","J40-J47","All Ages",38040,39814,""
"By Year",2020,-1,"United States","Respiratory diseases","Adult respiratory distress syndrome","J80","0-24",112,112,""
"By Year",2021,-1,"United States","Respiratory diseases","Adult respiratory distress syndrome","J80","0-24",274,274,""
"By Year",2020,-1,"United States","Respiratory diseases","Adult respiratory distress syndrome","J80","25-34",402,402,""
"By Year",2021,-1,"United States","Respiratory diseases","Adult respiratory distress syndrome","J80","25-34",1163,1163,""
"By Year",2020,-1,"United States","Respiratory diseases","Adult respiratory distress syndrome","J80","35-44",1130,1130,""
"By Year",2021,-1,"United States","Respiratory diseases","Adult respiratory distress syndrome","J80","35-44",2996,2996,""
"By Year",2020,-1,"United States","Respiratory diseases","Adult respiratory distress syndrome","J80","45-54",3330,3330,""
"By Year",2021,-1,"United States","Respiratory diseases","Adult respiratory distress syndrome","J80","45-54",6680,6680,""
"By Year",2020,-1,"United States","Respiratory diseases","Adult respiratory distress syndrome","J80","55-64",7484,7484,""
"By Year",2021,-1,"United States","Respiratory diseases","Adult respiratory distress syndrome","J80","55-64",12143,12143,""
"By Year",2020,-1,"United States","Respiratory diseases","Adult respiratory distress syndrome","J80","65-74",11538,11538,""
"By Year",2021,-1,"United States","Respiratory diseases","Adult respiratory distress syndrome","J80","65-74",14057,14057,""
"By Year",2020,-1,"United States","Respiratory diseases","Adult respiratory distress syndrome","J80","75-84",10481,10481,""
"By Year",2021,-1,"United States","Respiratory diseases","Adult respiratory distress syndrome","J80","75-84",8799,8799,""
"By Year",2020,-1,"United States","Respiratory diseases","Adult respiratory distress syndrome","J80","85+",7239,7239,""
"By Year",2021,-1,"United States","Respiratory diseases","Adult respiratory distress syndrome","J80","85+",3315,3315,""
"By Year",2020,-1,"United States","Respiratory diseases","Adult respiratory distress syndrome","J80","All Ages",41717,41717,""
"By Year",2021,-1,"United States","Respiratory diseases","Adult respiratory distress syndrome","J80","All Ages",49427,49427,""
"By Year",2020,-1,"United States","Respiratory diseases","Respiratory failure","J96","0-24",188,195,""
"By Year",2021,-1,"United States","Respiratory diseases","Respiratory failure","J96","0-24",601,626,""
"By Year",2020,-1,"United States","Respiratory diseases","Respiratory failure","J96","25-34",791,802,""
